FBgn	symbol	CG_alias	chr	start	end
FBgn0266873	lncRNA:CR45334		2L	21929064	21931698
FBgn0267268	lncRNA:CR45704		2L	21949849	21950521
FBgn0267267	lncRNA:CR45703		2L	21950874	21951163
FBgn0265148	lncRNA:CR44217		2L	21957820	21958360
FBgn0266038	lncRNA:CR44803		2L	21958463	21959111
FBgn0266039	lncRNA:CR44804		2L	21959599	21959980
FBgn0032969	CG2528		2L	21974749	21992933
FBgn0266221	lncRNA:CR44916		2L	21999734	22000420
FBgn0051693	CG31693		2L	22015190	22017334
FBgn0028979	tio	CG12630	2L	22019208	22025734
FBgn0053987	lncRNA:CR33987		2L	22019208	22020254
FBgn0266874	lncRNA:CR45335		2L	22032625	22033798
FBgn0084001	Grl40a	CG41434	2L	22037860	22039772
FBgn0051601	CG31601		2L	22040727	22043877
FBgn0267921	lncRNA:CR46202		2L	22046601	22047243
FBgn0085202	CG34173		2L	22053834	22054302
FBgn0260996	CG42597		2L	22064604	22065343
FBgn0051700	CR31700	CG31700	2L	22066517	22067170
FBgn0051702	tplus3a	CG31702	2L	22071144	22072902
FBgn0032971	ttm3	CG6691	2L	22079632	22080738
FBgn0051703	tplus3b	CG31703	2L	22102626	22104401
FBgn0040519	CG15219		2L	22104891	22105512
FBgn0032972	CG10834		2L	22106862	22107304
FBgn0032973	CG6675		2L	22108964	22110449
FBgn0287611	lncRNA:CR46480		2L	22115437	22121183
FBgn0032974	CG3651		2L	22121338	22126614
FBgn0025674	CycK	CG15218	2L	22124285	22130142
FBgn0262885	CR43240		2L	22131026	22131127
FBgn0261802	CG42748	CG15216	2L	22131221	22166221
FBgn0262886	lncRNA:CR43241		2L	22131221	22132435
FBgn0083973	dunk	CG34137	2L	22151623	22152640
FBgn0032979	Clamp	CG1832	2L	22165720	22169143
FBgn0266044	lncRNA:CR44809		2L	22169668	22170204
FBgn0032981	CG3635		2L	22175415	22183991
FBgn0259683	Ir40a	CG5922	2L	22189526	22214376
FBgn0042701	CR12628	CG12628	2L	22226152	22226771
FBgn0264265	lncRNA:CR43765		2L	22239183	22239713
FBgn0032986	Nubpl	CG3262	2L	22239916	22246988
FBgn0032987	RpL21	CG12775	2L	22247111	22247875
FBgn0032988	Tif-IA	CG5951	2L	22249876	22258260
FBgn0039972	Marf1	CG17410	2L	22308755	22368796
FBgn0263091	CR43359		2L	22340622	22341291
FBgn0064225	RpL5	CG17489	2L	22532279	22536884
FBgn0082980	snoRNA:Psi28S-2996		2L	22535458	22535593
FBgn0040009	CG17490		2L	22537668	22540597
FBgn0278598	lncRNA:CR46268		2L	22538230	22548452
FBgn0040010	CG17493	CG40016	2L	22550064	22556295
FBgn0040011	Slmap	CG17494	2L	22579072	22585843
FBgn0058006	CG40006		2L	22622417	22756349
FBgn0264548	lncRNA:CR43927		2L	22751304	22751795
FBgn0058439	CG40439		2L	22797519	22798276
FBgn0262947	lncRNA:CR43266	CG43266	2L	22840517	22843668
FBgn0041004	CG17715	CG18603	2L	22844220	22854541
FBgn0002566	lt	CG18028	2L	22924795	22943135
FBgn0058005	CR40005	CG40005	2L	22949038	22950476
FBgn0000384	cta	CG40010	2L	22981816	22992951
FBgn0250907	Cht10	CG18140	2L	22999574	23025915
FBgn0086683	Spf45	CG17540	2L	23066874	23068386
FBgn0262887	lncRNA:CR43242		2L	23069005	23070724
FBgn0039958	CG12567		2L	23161122	23174484
FBgn0262293	mir-2490		2L	23168825	23168899
FBgn0265254	lncRNA:CR44268		2L	23173073	23173465
FBgn0287461	lncRNA:CR46450		2L	23176238	23177906
FBgn0267986	lncRNA:CR46253		2L	23239253	23240411
FBgn0063368	Gpb5	CG40041	2L	23311700	23312464
FBgn0267976	Tim23	CG40042	2L	23312465	23313578
FBgn0260435	CR42530		2L	23320508	23324192
FBgn0085664	CR41519	CG41519	2L	23415916	23416153
FBgn0267428	DIP-lambda	CG42644	2R	326768	705848
FBgn0284080	CG46302		2R	854814	855571
FBgn0069969	CG40498		2R	924636	951252
FBgn0085582	lncRNA:CR41257	CG41257	2R	1070657	1071319
FBgn0003256	rl	CG12559	2R	1071462	1125927
FBgn0261505	CR42653		2R	1207416	1209312
FBgn0085732	CR40190		2R	1211067	1213666
FBgn0058191	CG40191		2R	1264140	1267747
FBgn0267398	Yeti	CG40218	2R	1343403	1345119
FBgn0264834	lncRNA:CR44042		2R	1348167	1349167
FBgn0262123	l(2)41Ab	CG40334	2R	1349392	1443935
FBgn0264835	lncRNA:CR44043		2R	1368921	1371468
FBgn0267861	Maf1	CG40196	2R	1512810	1527095
FBgn0039993	Bckdhb	CG17691	2R	1590484	1596457
FBgn0058068	CR40068	CG40068	2R	1618172	1618585
FBgn0087011	CG41520	CG17443	2R	1649061	1778937
FBgn0085784	CR41379		2R	1806864	1807342
FBgn0263780	CG17684	CG40072	2R	1866080	2262115
FBgn0287618	asRNA:CR46487		2R	2118494	2121132
FBgn0058100	CR40100	CG40100	2R	2374631	2375134
FBgn0058263	MFS17	CG40263	2R	2494742	2565385
FBgn0262204	mir-2279		2R	2552170	2552282
FBgn0085638	CG41378		2R	2770380	2846708
FBgn0287612	lncRNA:CR46481		2R	2862767	2866470
FBgn0020908	Scp1	CG15848	2R	2932595	2968052
FBgn0260995	dpr21	CG42596	2R	3066499	3191011
FBgn0085570	CR41243	CG41243	2R	3334854	3336160
FBgn0085569	CG41242		2R	3363857	3364402
FBgn0266762	CR45227		2R	3468952	3470223
FBgn0287620	lncRNA:CR46489		2R	3481473	3483439
FBgn0085786	CR41501		2R	3524536	3526047
FBgn0058461	CR40461	CG40461	2R	3590030	3590420
FBgn0085512	RYa	CG40733	2R	3647346	3647765
FBgn0262124	uex	CG40084	2R	3900285	3949425
FBgn0266632	asRNA:CR45139		2R	3943429	3949757
FBgn0046706	Haspin	CG40080	2R	4014111	4049342
FBgn0262115	CG17683		2R	4130974	4133484
FBgn0262116	RNASEK	CG40127	2R	4186835	4188127
FBgn0262117	IntS3	CG17665	2R	4235779	4242934
FBgn0260798	Gprk1	CG40129	2R	4322295	4471060
FBgn0264909	lncRNA:CR44100		2R	4507995	4508445
FBgn0040007	RpL38	CG18001	2R	4515388	4516458
FBgn0046692	Stlk	CG40293	2R	4546691	4565281
FBgn0260799	p120ctn	CG17484	2R	4595288	4609492
FBgn0032997	CG17486	CG40291	2R	4619030	4620833
FBgn0267585	lncRNA:dntRL	CG17478	2R	4621118	4622481
FBgn0040005	CG17883	CG40289	2R	4671853	4673639
FBgn0026401	Nipped-B	CG17704	2R	4691672	4729017
FBgn0039979	CR40282	CG40282	2R	4730439	4731241
FBgn0267027	lncRNA:CR45471		2R	4730481	4731395
FBgn0084049	CR41440	CG40287	2R	4731514	4732343
FBgn0039994	conu	CG40286	2R	4744348	4758048
FBgn0262970	CR43281		2R	4780311	4783646
FBgn0267733	lncRNA:CR46064		2R	4782892	4785543
FBgn0250830	CG12547	CG40277	2R	4785855	4788965
FBgn0287609	lncRNA:CR46478		2R	4788763	4801505
FBgn0287607	lncRNA:CR46476		2R	4792869	4794974
FBgn0287608	lncRNA:CR46477		2R	4802420	4815130
FBgn0261387	CG17528	CG40283	2R	4815426	4824319
FBgn0033000	CG14464	CG40285	2R	4829246	4830587
FBgn0264911	CG44102		2R	4895730	4907685
FBgn0040849	Ir41a	CG17587	2R	4917519	5021955
FBgn0264914	lncRNA:CR44105		2R	5031995	5032795
FBgn0013348	TpnC41C	CG2981	2R	5065237	5070210
FBgn0263092	CR43360		2R	5081884	5082431
FBgn0033005	CG3107		2R	5090581	5095090
FBgn0026238	gus	CG2944	2R	5116990	5128321
FBgn0262901	lncRNA:CR43256		2R	5127249	5129296
FBgn0033010	Atf6	CG3136	2R	5144733	5154756
FBgn0053554	Nipped-A	CG2905	2R	5177965	5251022
FBgn0084008	lncRNA:CR41443	CG41443	2R	5253945	5255295
FBgn0033015	d4	CG2682	2R	5259004	5295965
FBgn0261403	sxc	CG10392	2R	5307288	5329555
FBgn0033017	CG10465		2R	5339706	5340995
FBgn0033019	CG10395		2R	5350477	5351972
FBgn0050441	IFT20	CG30441	2R	5351717	5352122
FBgn0033020	COX4L	CG10396	2R	5353994	5354723
FBgn0033021	CG10417		2R	5360331	5363104
FBgn0261429	lncRNA:CR42646		2R	5363253	5367357
FBgn0286203	stw	CG32838	2R	5413744	5456095
FBgn0050440	CG30440	CG10412	2R	5468319	5495861
FBgn0050438	Ugt50B3	CG30438	2R	5496674	5549543
FBgn0033027	TpnC4	CG12408	2R	5503437	5507866
FBgn0039969	Fis1	CG17510	2R	5603587	5604834
FBgn0039970	CG17508		2R	5608635	5611586
FBgn0033028	hrm	CG11665	2R	5640915	5652815
FBgn0027507	CG1344		2R	5653676	5656778
FBgn0033029	Not3	CG8426	2R	5656406	5663222
FBgn0267028	lncRNA:CR45472		2R	5663909	5664615
FBgn0033031	CG8245		2R	5668383	5669986
FBgn0033032	kune	CG1298	2R	5671741	5672800
FBgn0033033	scaf	CG11066	2R	5676750	5691723
FBgn0287767	Cndp2	CG17337	2R	5697872	5700212
FBgn0259978	vlc	CG8390	2R	5702112	5705439
FBgn0267978	ap	CG8376	2R	5706202	5727525
FBgn0022288	l(2)09851	CG12792	2R	5754517	5756327
FBgn0085229	Tom6	CG34200	2R	5757662	5758067
FBgn0033038	Mipep	CG7791	2R	5758065	5760407
FBgn0266580	Gp210	CG14467	2R	5760862	5774324
FBgn0263479	scaRNA:PsiU2-35.45		2R	5765180	5765319
FBgn0025693	ZnT41F	CG11163	2R	5774776	5782858
FBgn0033041	Or42a	CG17250	2R	5791441	5792967
FBgn0033042	Tsp42A	CG14468	2R	5795413	5796710
FBgn0033043	Or42b	CG12754	2R	5797195	5798512
FBgn0085414	dpr12	CG7796	2R	5804712	5860831
FBgn0265631	CG44438		2R	5879196	5880395
FBgn0264956	lncRNA:CR44125		2R	5884894	5886495
FBgn0263109	CG43366	CG12551	2R	5893895	5931363
FBgn0264957	lncRNA:CR44126		2R	5937400	5938994
FBgn0278599	asRNA:CR46269		2R	5957588	5959299
FBgn0033047	CG7882		2R	5957621	5960183
FBgn0033048	CG7881		2R	5960275	5966856
FBgn0264958	lncRNA:CR44127		2R	5967397	5967746
FBgn0263855	BubR1	CG7838	2R	5969099	5974385
FBgn0002774	mle	CG11680	2R	5974857	5980778
FBgn0264959	Src42A	CG7873	2R	5981844	6012795
FBgn0000043	Act42A	CG12051	2R	6013910	6015689
FBgn0033050	Pngl	CG7865	2R	6017739	6020695
FBgn0033051	Strica	CG7863	2R	6020311	6023144
FBgn0033052	SCAP	CG8356	2R	6026273	6036388
FBgn0033054	CG14591		2R	6036557	6040647
FBgn0033055	Tbce	CG7861	2R	6042532	6044964
FBgn0264961	asRNA:CR44130		2R	6047170	6047738
FBgn0085240	CG34211		2R	6047195	6047392
FBgn0085241	CG34212		2R	6049874	6050286
FBgn0033058	CCHa2-R	CG14594	2R	6050949	6068680
FBgn0033056	CG7856		2R	6057357	6059558
FBgn0264980	lncRNA:CR44131		2R	6068795	6069795
FBgn0284246	l(2)k09848	CG7845	2R	6074471	6076367
FBgn0033060	CG7849		2R	6076910	6078088
FBgn0033061	SmydA-5	CG14590	2R	6078641	6080572
FBgn0033062	Ars2	CG7843	2R	6080828	6085625
FBgn0000546	EcR	CG1765	2R	6087873	6169087
FBgn0033063	CG14589		2R	6137303	6138411
FBgn0011958	tRNA:Arg-ACG-1-1		2R	6142165	6142237
FBgn0011891	tRNA:Lys-CTT-1-1		2R	6142372	6142444
FBgn0011938	tRNA:Asn-GTT-1-1		2R	6152603	6152676
FBgn0011937	tRNA:Asn-GTT-1-2		2R	6153186	6153259
FBgn0011936	tRNA:Asn-GTT-1-3		2R	6153506	6153579
FBgn0264505	lncRNA:CR43904		2R	6158597	6159635
FBgn0011957	tRNA:Arg-ACG-1-2		2R	6161535	6161607
FBgn0011933	tRNA:Asn-GTT-1-4		2R	6162023	6162096
FBgn0011932	tRNA:Asn-GTT-1-5		2R	6162197	6162270
FBgn0011931	tRNA:Asn-GTT-1-6		2R	6162519	6162592
FBgn0011889	tRNA:Lys-CTT-1-2		2R	6162681	6162753
FBgn0011888	tRNA:Lys-CTT-1-3		2R	6164876	6164948
FBgn0011887	tRNA:Lys-CTT-1-4		2R	6165984	6166056
FBgn0011880	tRNA:Ile-AAT-1-1		2R	6166151	6166224
FBgn0011956	tRNA:Arg-ACG-1-3		2R	6169607	6169679
FBgn0011890	tRNA:Lys-CTT-1-5		2R	6171496	6171568
FBgn0050316	tRNA:Arg-ACG-1-4		2R	6171687	6171759
FBgn0033065	Cyp6w1	CG8345	2R	6173684	6176195
FBgn0011955	tRNA:Arg-ACG-1-5		2R	6178584	6178656
FBgn0040502	CG8343		2R	6179726	6180356
FBgn0033067	CG11211		2R	6180926	6181626
FBgn0262867	Ptr	CG11212	2R	6181748	6196320
FBgn0011935	tRNA:Asn-GTT-1-7		2R	6190129	6190202
FBgn0011934	tRNA:Asn-GTT-1-8		2R	6190372	6190445
FBgn0050432	CG30432		2R	6197387	6198266
FBgn0033069	eIF3f2	CG8335	2R	6200853	6201956
FBgn0050431	CG30431	CG8341	2R	6202725	6205224
FBgn0033072	CG17994		2R	6207219	6209468
FBgn0021847	Ttc7	CG8325	2R	6209782	6214122
FBgn0263144	bin3	CG8276	2R	6214568	6240602
FBgn0265044	lncRNA:CR44161		2R	6216197	6218619
FBgn0033074	tomboy40	CG8330	2R	6225634	6226884
FBgn0286511	Pld	CG12110	2R	6242004	6255266
FBgn0267744	lncRNA:CR46075		2R	6501032	6501772
FBgn0086655	jing	CG9403	2R	6502006	6621792
FBgn0266620	lncRNA:CR45127		2R	6508895	6510295
FBgn0264506	lncRNA:CR43905		2R	6532595	6533595
FBgn0033076	CG15233		2R	6600044	6600978
FBgn0286039	sisRNA:CR46361		2R	6615752	6615923
FBgn0053919	CG33919		2R	6623832	6624577
FBgn0262736	Vha16-1	CG3161	2R	6625242	6633090
FBgn0026761	Trap1	CG3152	2R	6633647	6636262
FBgn0042085	Bap170	CG3274	2R	6636512	6642358
FBgn0033079	Fmo2	CG3174	2R	6642418	6645098
FBgn0029131	Debcl	CG12397	2R	6648654	6652842
FBgn0050443	Opbp	CG12397	2R	6653217	6655267
FBgn0033081	geminin	CG3183	2R	6655463	6656594
FBgn0013732	sced	CG3273	2R	6657326	6660624
FBgn0266518	Dpit47	CG3189	2R	6660645	6662118
FBgn0284249	Adf1	CG15845	2R	6662265	6668085
FBgn0266621	lncRNA:CR45128		2R	6663395	6664195
FBgn0033085	CG15908		2R	6668150	6668738
FBgn0033086	Coq10	CG9410	2R	6669024	6670076
FBgn0033087	Hsepi	CG3194	2R	6670154	6673372
FBgn0033088	PGAP3	CG3271	2R	6673604	6675061
FBgn0033089	CG17266		2R	6675028	6676001
FBgn0033092	Rpp25	CG9422	2R	6675822	6693162
FBgn0259977	Tdc1	CG30445	2R	6677001	6680391
FBgn0265049	lncRNA:CR44164		2R	6681796	6682394
FBgn0265050	asRNA:CR44165		2R	6682521	6683749
FBgn0033090	CG15909		2R	6683186	6684710
FBgn0050446	Tdc2	CG3686	2R	6684745	6689974
FBgn0033093	CG3270		2R	6693430	6695187
FBgn0259483	Mob4	CG3403	2R	6695114	6696661
FBgn0014009	Rab2	CG3269	2R	6696739	6699469
FBgn0033095	chk	CG3409	2R	6699695	6715892
FBgn0266525	CG45092		2R	6699695	6715892
FBgn0263518	mir-4975		2R	6707163	6707273
FBgn0263586	lncRNA:CR43611		2R	6707306	6708960
FBgn0033096	Zip42C.1	CG9428	2R	6716342	6717707
FBgn0033097	Zip42C.2	CG9430	2R	6718196	6719533
FBgn0010482	hlk	CG9432	2R	6721101	6740672
FBgn0028579	phtf	CG3268	2R	6741899	6746141
FBgn0042083	Mccc2	CG3267	2R	6746381	6748954
FBgn0027066	Eb1	CG3265	2R	6749227	6756300
FBgn0033100	CG3420		2R	6756296	6757209
FBgn0033101	Ar4	CG9436	2R	6757601	6758903
FBgn0085421	Epac	CG15235	2R	6759715	6798941
FBgn0289743	Cyp6a2	CG9438	2R	6779749	6781491
FBgn0014028	SdhB	CG3283	2R	6807626	6809172
FBgn0033104	CG15237		2R	6809044	6809766
FBgn0022224	ubl	CG3450	2R	6810011	6810530
FBgn0265003	koi	CG18584	2R	6811019	6818199
FBgn0265635	lncRNA:CR44442		2R	6820560	6822596
FBgn0033108	CG15236		2R	6828356	6838360
FBgn0085244	CG34215		2R	6831296	6831793
FBgn0263517	mir-4976		2R	6835533	6835635
FBgn0040674	CG9445		2R	6838074	6839055
FBgn0265051	lncRNA:CR44166		2R	6841545	6842094
FBgn0265935	coro	CG9446	2R	6862001	6872718
FBgn0033110	CG9447		2R	6872996	6875819
FBgn0265058	asRNA:CR44169		2R	6873149	6880088
FBgn0265137	Spn42Da	CG9453	2R	6875906	6878927
FBgn0033112	Spn42Db	CG9454	2R	6879285	6880770
FBgn0033113	Spn42Dc	CG9455	2R	6880995	6883407
FBgn0028988	Spn42Dd	CG9456	2R	6883280	6884873
FBgn0033115	Spn42De	CG9460	2R	6885552	6888262
FBgn0050158	CG30158	CG9464	2R	6891760	6922613
FBgn0033117	CG3358		2R	6923366	6924929
FBgn0053558	mim	CG33352	2R	6924687	6971637
FBgn0066293	CheB42b	CG15241	2R	6943096	6943995
FBgn0066292	CheB42c	CG15241	2R	6944614	6971637
FBgn0011892	tRNA:Lys-CTT-1-6		2R	6946808	6946880
FBgn0011893	tRNA:Lys-CTT-1-7		2R	6947738	6947810
FBgn0011894	tRNA:Lys-CTT-1-8		2R	6948284	6948356
FBgn0011895	tRNA:Lys-CTT-1-9		2R	6949133	6949205
FBgn0053348	CheB42a	CG15242	2R	6949482	6950284
FBgn0053349	ppk25	CG15242	2R	6950385	6952158
FBgn0033121	Cyp6u1	CG3567	2R	6971996	6975026
FBgn0050157	Ufsp1	CG30157	2R	6974038	6975133
FBgn0022960	vimar	CG3572	2R	6975285	6985712
FBgn0265059	lncRNA:CR44170		2R	6979496	6980195
FBgn0265060	lncRNA:CR44171	CG44171	2R	6980395	6981195
FBgn0050156	CG30156		2R	6981446	6985712
FBgn0033122	CG17002		2R	6986043	6988922
FBgn0029508	Tsp42Ea	CG18817	2R	6992676	7004259
FBgn0050159	CG30159	CG3364	2R	6992681	6994306
FBgn0042086	Tsp42Eb	CG18816	2R	6998848	6999848
FBgn0261856	CR42785		2R	7000154	7001696
FBgn0050160	CG30160		2R	7005157	7006136
FBgn0033124	Tsp42Ec	CG12847	2R	7006442	7008622
FBgn0029507	Tsp42Ed	CG12846	2R	7009498	7011739
FBgn0029506	Tsp42Ee	CG10106	2R	7012254	7018362
FBgn0263655	CG43646		2R	7018760	7019390
FBgn0263656	CG43647		2R	7020133	7020746
FBgn0265061	lncRNA:CR44172		2R	7023396	7024096
FBgn0033127	Tsp42Ef	CG12845	2R	7025010	7028082
FBgn0033128	Tsp42Eg	CG12142	2R	7028911	7033233
FBgn0033129	Tsp42Eh	CG12844	2R	7033562	7034920
FBgn0033130	Tsp42Ei	CG12843	2R	7035125	7036949
FBgn0053914	CG33914		2R	7036768	7039050
FBgn0033131	CR12842	CG12842	2R	7039130	7039813
FBgn0033132	Tsp42Ej	CG12143	2R	7040136	7042762
FBgn0033133	Tsp42Ek	CG12841	2R	7042656	7044710
FBgn0033134	Tsp42El	CG12840	2R	7045769	7048538
FBgn0016032	lbm	CG2374	2R	7049238	7051964
FBgn0033135	Tsp42En	CG12839	2R	7052747	7054399
FBgn0033137	Tsp42Ep	CG4471	2R	7054405	7057548
FBgn0033136	Tsp42Eo	CG12838	2R	7054717	7056576
FBgn0027558	Pgant3	CG4445	2R	7057654	7061732
FBgn0033138	Tsp42Eq	CG12832	2R	7062108	7063569
FBgn0033139	Tsp42Er	CG12837	2R	7064399	7066113
FBgn0033140	CG12836		2R	7068572	7069896
FBgn0050298	tRNA:Thr-AGT-2-1		2R	7069970	7070043
FBgn0033141	CG12831		2R	7070495	7074152
FBgn0050299	tRNA:Thr-AGT-1-2		2R	7070760	7070833
FBgn0263934	esn	CG12833	2R	7086316	7127868
FBgn0015038	Cyp9b1	CG4485	2R	7127838	7129808
FBgn0015039	Cyp9b2	CG4486	2R	7130277	7132139
FBgn0265636	lncRNA:CR44443		2R	7134495	7135095
FBgn0024294	Spn43Aa	CG12172	2R	7147692	7149289
FBgn0033145	CG12828		2R	7149174	7149677
FBgn0265095	lncRNA:CR44200		2R	7149795	7150094
FBgn0003090	pk	CG12830	2R	7150703	7223378
FBgn0024293	Spn43Ab	CG1865	2R	7151662	7153642
FBgn0044011	Spn43Ad	CG1859	2R	7153738	7155424
FBgn0002930	nec	CG1857	2R	7156477	7158241
FBgn0033149	CG11060		2R	7175886	7178290
FBgn0053140	CG33140	CG11074	2R	7178390	7180730
FBgn0050385	CG30385	CG11074	2R	7181326	7183020
FBgn0050384	CG30384	CG11074	2R	7182997	7185298
FBgn0026389	Or43a	CG1854	2R	7232840	7234913
FBgn0026602	Adk3	CG1851	2R	7243024	7245776
FBgn0033153	Gadd45	CG11086	2R	7249161	7250655
FBgn0266818	lncRNA:CR45280		2R	7254602	7256696
FBgn0033154	CG1850		2R	7258867	7261269
FBgn0033155	Br140	CG1845	2R	7272275	7278101
FBgn0260991	Incenp	CG12165	2R	7278467	7281795
FBgn0003174	pwn	CG11101	2R	7282572	7300806
FBgn0033158	CG12164		2R	7311395	7313495
FBgn0033159	Dscam1	CG17800	2R	7317924	7381899
FBgn0266622	asRNA:CR45129		2R	7325896	7335195
FBgn0264880	asRNA:CR44071		2R	7343345	7343695
FBgn0000352	cos	CG1708	2R	7382176	7387115
FBgn0033160	Dhx15	CG11107	2R	7387218	7391023
FBgn0041243	Gr43a	CG1712	2R	7390869	7393161
FBgn0283450	Glo1	CG1707	2R	7393546	7395932
FBgn0265096	asRNA:CR44201		2R	7394996	7396194
FBgn0033166	Eaf	CG1706	2R	7396850	7407819
FBgn0033164	CG11112		2R	7400743	7401482
FBgn0033165	CG11113		2R	7401859	7402364
FBgn0262583	CG43123		2R	7402757	7403870
FBgn0262948	CG43267		2R	7404035	7404441
FBgn0263529	mir-4977		2R	7406733	7406837
FBgn0033167	CG1701		2R	7408371	7409385
FBgn0003460	so	CG11121	2R	7419350	7434872
FBgn0265097	lncRNA:CR44202	CG44202	2R	7422496	7422994
FBgn0033168	CG11145		2R	7427905	7428593
FBgn0265098	lncRNA:CR44203		2R	7429496	7429995
FBgn0265099	lncRNA:CR44204	CG44204	2R	7431696	7432496
FBgn0033169	CG11123		2R	7440706	7442885
FBgn0033170	sPLA2	CG11124	2R	7442864	7443827
FBgn0040513	kappaB-Ras	CG1669	2R	7443824	7445792
FBgn0050503	CG30503	CG1672	2R	7443824	7445792
FBgn0050502	Fa2h	CG1645	2R	7446189	7451553
FBgn0033174	CG11125		2R	7447473	7449995
FBgn0266859	lncRNA:CR45320		2R	7451670	7452365
FBgn0025885	Inos	CG11143	2R	7454922	7458874
FBgn0033177	CG11141		2R	7459685	7463395
FBgn0033178	CG11127		2R	7463504	7464987
FBgn0033179	p47	CG11139	2R	7465018	7466759
FBgn0010548	Aldh-III	CG11140	2R	7466879	7477162
FBgn0259745	wech	CG1624	2R	7478853	7489823
FBgn0263240	Coop	CG1621	2R	7490836	7492589
FBgn0263967	asRNA:CR43723		2R	7492364	7493497
FBgn0033183	CG1620		2R	7493806	7496466
FBgn0015929	dpa	CG1616	2R	7496702	7500145
FBgn0261397	didum	CG2146	2R	7500147	7508625
FBgn0033184	mEFTu2	CG12736	2R	7508527	7510357
FBgn0025185	az2	CG1605	2R	7510622	7512749
FBgn0033185	cliff	CG1603	2R	7513846	7516390
FBgn0033186	CG1602		2R	7516923	7518936
FBgn0033187	PIG-G	CG2144	2R	7519280	7522541
FBgn0286788	Orc1	CG10667	2R	7522437	7525716
FBgn0033188	Drat	CG1600	2R	7526118	7532981
FBgn0265107	lncRNA:CR44209		2R	7533190	7533497
FBgn0264294	Cyt-b5	CG1624	2R	7533506	7535936
FBgn0033190	Gpo2	CG2137	2R	7535919	7538297
FBgn0033191	CG1598		2R	7538232	7539696
FBgn0033192	Corin	CG2105	2R	7540111	7564435
FBgn0050499	Rpe	CG1364	2R	7564434	7565751
FBgn0004132	boca	CG1364	2R	7565873	7566738
FBgn0033194	Vps13	CG2093	2R	7566809	7580675
FBgn0266623	asRNA:CR45130		2R	7578665	7579929
FBgn0004133	blow	CG1363	2R	7580488	7587079
FBgn0033195	CG1360		2R	7587773	7590109
FBgn0261385	scra	CG2092	2R	7590119	7595242
FBgn0033196	HisT	CG1358	2R	7595265	7620711
FBgn0265637	lncRNA:CR44444		2R	7621887	7622695
FBgn0263077	M7BP	CG30492	2R	7623242	7651787
FBgn0266624	asRNA:CR45131		2R	7631495	7635219
FBgn0263046	CG43341	CG30492	2R	7632841	7633880
FBgn0033199	ima	CG17985	2R	7651625	7655302
FBgn0028687	Rpt1	CG1341	2R	7652440	7653954
FBgn0050491	CG30491	CG2074	2R	7655072	7656770
FBgn0050495	CG30495	CG17986	2R	7656895	7659061
FBgn0033202	Grl43a	CG1339	2R	7659104	7660588
FBgn0033203	CG2070		2R	7661855	7663408
FBgn0033204	CG2065		2R	7663786	7665269
FBgn0033205	Rdh1	CG2064	2R	7665828	7667343
FBgn0033206	DCTN4-p62	CG12042	2R	7667248	7669029
FBgn0033207	CG12826		2R	7670327	7671103
FBgn0033208	mRpL52	CG1577	2R	7673721	7674400
FBgn0033209	CG12107		2R	7674450	7675362
FBgn0033210	U2A	CG1406	2R	7675362	7676362
FBgn0033212	LRR	CG1576	2R	7676540	7698902
FBgn0050493	Coq9	CG1952	2R	7699253	7703501
FBgn0050496	CG30496	CG1952	2R	7699500	7701878
FBgn0085245	CG34216		2R	7703506	7705095
FBgn0003733	tor	CG1389	2R	7705183	7709184
FBgn0033214	CG1941		2R	7709873	7711981
FBgn0263566	mir-4909		2R	7711417	7711476
FBgn0033215	Dgat2	CG1942	2R	7712578	7714182
FBgn0033216	bishu-2	CG1946	2R	7714923	7716781
FBgn0042135	Gdap2	CG12040	2R	7716807	7735622
FBgn0286778	CG46385	CG30497	2R	7737019	7782637
FBgn0000337	cn	CG1555	2R	7782797	7785067
FBgn0266577	asRNA:CR45108		2R	7783334	7785585
FBgn0015614	CanB2	CG11217	2R	7786010	7789053
FBgn0263558	mir-4980		2R	7786322	7786443
FBgn0033221	CG12825		2R	7789206	7789988
FBgn0033222	CG12824		2R	7790368	7791170
FBgn0001091	Gapdh1	CG12055	2R	7791901	7793380
FBgn0002891	PolZ1	CG1925	2R	7793625	7801044
FBgn0033224	Nop17l	CG1553	2R	7800785	7806385
FBgn0003317	sax	CG1891	2R	7806484	7810067
FBgn0033225	TTLL12	CG1550	2R	7810068	7812028
FBgn0033226	puml	CG1882	2R	7812504	7815486
FBgn0029093	cathD	CG1548	2R	7815339	7823569
FBgn0050383	CG30383		2R	7823943	7825141
FBgn0003082	phr	CG11205	2R	7825289	7827319
FBgn0263121	Prosalpha1	CG18495	2R	7827303	7828678
FBgn0042173	CG18853		2R	7829062	7830429
FBgn0050382	Prosalpha1R	CG30382	2R	7830413	7831771
FBgn0040780	Atg10	CG12821	2R	7832171	7835518
FBgn0033229	CG12822		2R	7832171	7833841
FBgn0085390	Dgk	CG12820	2R	7834812	7885982
FBgn0050377	CG30377	CG1918	2R	7890025	7915032
FBgn0033232	CG12159		2R	7915027	7916478
FBgn0015509	Cul1	CG1877	2R	7916856	7921579
FBgn0026393	Or43b	CG17853	2R	7920835	7922604
FBgn0033233	Kdm4A	CG15835	2R	7922775	7924988
FBgn0033234	MFS12	CG8791	2R	7926653	7929922
FBgn0050381	PIG-X	CG30381	2R	7929658	7931016
FBgn0023171	rnh1	CG8729	2R	7931054	7932380
