gene_id	chr	start	end	strand	length
gene:Zm00001eb086870	2	89233235	89237084	+	3850
gene:Zm00001eb086880	2	89425826	89449495	+	23670
gene:Zm00001eb086890	2	89440718	89441093	-	376
gene:Zm00001eb086900	2	89441148	89441580	-	433
gene:Zm00001eb086910	2	89546332	89575351	-	29020
gene:Zm00001eb086920	2	89685424	89685768	-	345
gene:Zm00001eb086930	2	89685902	89686369	-	468
gene:Zm00001eb086940	2	90014721	90017434	+	2714
gene:Zm00001eb086950	2	90134024	90136426	-	2403
gene:Zm00001eb086960	2	90268385	90270127	-	1743
gene:Zm00001eb086970	2	90311412	90312796	-	1385
gene:Zm00001eb086980	2	90335139	90337788	-	2650
gene:Zm00001eb086990	2	90409251	90415694	-	6444
gene:Zm00001eb087000	2	90601452	90605652	-	4201
gene:Zm00001eb087010	2	90715640	90716815	+	1176
gene:Zm00001eb087020	2	90834362	90840999	+	6638
gene:Zm00001eb087030	2	91019972	91020285	-	314
gene:Zm00001eb087040	2	91020950	91022591	-	1642
gene:Zm00001eb087050	2	91262691	91265316	+	2626
gene:Zm00001eb087060	2	91374297	91378603	+	4307
gene:Zm00001eb087070	2	91414748	91415355	+	608
gene:Zm00001eb087080	2	91424846	91425745	+	900
gene:Zm00001eb087090	2	91880318	91881060	+	743
gene:Zm00001eb087100	2	91917246	91918903	-	1658
gene:Zm00001eb087110	2	91921113	91922993	+	1881
gene:Zm00001eb087120	2	92354832	92364437	+	9606
gene:Zm00001eb087130	2	92367502	92368742	+	1241
gene:Zm00001eb087140	2	92505066	92507981	-	2916
gene:Zm00001eb087150	2	92908109	92916168	-	8060
gene:Zm00001eb087160	2	93025946	93028050	-	2105
gene:Zm00001eb087170	2	93464278	93464924	+	647
gene:Zm00001eb087180	2	93647035	93647763	+	729
gene:Zm00001eb087190	2	93759160	93759490	+	331
gene:Zm00001eb087200	2	94215316	94219348	+	4033
gene:Zm00001eb087210	2	94219971	94220460	+	490
gene:Zm00001eb087220	2	94222519	94228010	+	5492
gene:Zm00001eb087230	2	94231708	94232522	-	815
gene:Zm00001eb087240	2	94245873	94246906	+	1034
gene:Zm00001eb087250	2	94388940	94391973	+	3034
gene:Zm00001eb087260	2	94460230	94474482	-	14253
gene:Zm00001eb087270	2	94603620	94628150	-	24531
gene:Zm00001eb087280	2	94750745	94751886	-	1142
gene:Zm00001eb087290	2	94758437	94759480	-	1044
gene:Zm00001eb087300	2	94758612	94761261	+	2650
gene:Zm00001eb087310	2	94909621	94913143	+	3523
gene:Zm00001eb087320	2	95249368	95261873	-	12506
gene:Zm00001eb087330	2	95314206	95314545	-	340
gene:Zm00001eb087340	2	95556220	95556901	+	682
gene:Zm00001eb087350	2	95654068	95657568	+	3501
gene:Zm00001eb087360	2	95815582	95827967	-	12386
gene:Zm00001eb087370	2	95876972	95877976	+	1005
gene:Zm00001eb087380	2	95946783	95948674	-	1892
gene:Zm00001eb087390	2	96177382	96178714	+	1333
gene:Zm00001eb087400	2	96533612	96534687	+	1076
gene:Zm00001eb087410	2	96637329	96637637	+	309
gene:Zm00001eb087420	2	96642478	96642945	+	468
gene:Zm00001eb087430	2	96865209	96866386	+	1178
gene:Zm00001eb087440	2	96872891	96873992	+	1102
gene:Zm00001eb087450	2	97596646	97599069	+	2424
gene:Zm00001eb087460	2	97793984	97816095	-	22112
gene:Zm00001eb087470	2	97840156	97852964	-	12809
gene:Zm00001eb087480	2	98197546	98198029	-	484
gene:Zm00001eb087490	2	98420154	98427454	+	7301
gene:Zm00001eb087500	2	98491576	98508235	+	16660
gene:Zm00001eb087510	2	98721936	98722391	+	456
gene:Zm00001eb087520	2	98983609	98983921	+	313
gene:Zm00001eb087530	2	99452989	99456711	+	3723
gene:Zm00001eb087540	2	99775842	99776138	-	297
gene:Zm00001eb087550	2	99840745	99841944	-	1200
gene:Zm00001eb087560	2	99840917	99841576	+	660
gene:Zm00001eb087570	2	99952045	100016683	-	64639
gene:Zm00001eb087580	2	100043870	100044259	+	390
gene:Zm00001eb087590	2	100166542	100171447	-	4906
gene:Zm00001eb087600	2	100368312	100372049	-	3738
gene:Zm00001eb087610	2	100375149	100377294	-	2146
gene:Zm00001eb087620	2	100384743	100386185	+	1443
gene:Zm00001eb087630	2	100463107	100464289	-	1183
gene:Zm00001eb087640	2	101040838	101042195	+	1358
gene:Zm00001eb087650	2	101175827	101189759	+	13933
gene:Zm00001eb087660	2	101638171	101643749	-	5579
gene:Zm00001eb087670	2	101683200	101693907	+	10708
gene:Zm00001eb087680	2	101735151	101736167	-	1017
gene:Zm00001eb087690	2	101799882	101801910	-	2029
gene:Zm00001eb087700	2	101800068	101801918	+	1851
gene:Zm00001eb087710	2	102066430	102066780	-	351
gene:Zm00001eb087720	2	102230877	102232703	-	1827
gene:Zm00001eb087730	2	102309868	102311500	+	1633
gene:Zm00001eb087740	2	102352936	102354529	-	1594
gene:Zm00001eb087750	2	102434802	102438082	+	3281
gene:Zm00001eb087760	2	102437812	102438168	-	357
gene:Zm00001eb087770	2	102570871	102571176	-	306
gene:Zm00001eb087780	2	102935068	102935433	+	366
gene:Zm00001eb087790	2	102940518	102941852	-	1335
gene:Zm00001eb087800	2	103194654	103201054	-	6401
gene:Zm00001eb087810	2	103205893	103206562	+	670
gene:Zm00001eb087820	2	103255347	103256304	+	958
gene:Zm00001eb087830	2	103257020	103257959	+	940
gene:Zm00001eb087840	2	103564880	103567533	-	2654
gene:Zm00001eb087850	2	103832611	103839690	-	7080
gene:Zm00001eb087860	2	103886989	103888435	-	1447
gene:Zm00001eb087870	2	103956404	103957034	-	631
gene:Zm00001eb087880	2	104158388	104159770	-	1383
gene:Zm00001eb087890	2	104305959	104306684	-	726
gene:Zm00001eb087900	2	104313175	104315002	+	1828
gene:Zm00001eb087910	2	104323766	104324780	+	1015
gene:Zm00001eb087920	2	104338015	104343357	-	5343
gene:Zm00001eb087930	2	104738409	104745740	-	7332
gene:Zm00001eb087940	2	104855205	104856020	-	816
gene:Zm00001eb087950	2	104930938	104936654	-	5717
gene:Zm00001eb087960	2	105229640	105232385	-	2746
gene:Zm00001eb087970	2	105371914	105375881	+	3968
gene:Zm00001eb087980	2	105444501	105446169	+	1669
gene:Zm00001eb087990	2	105468453	105469163	-	711
gene:Zm00001eb088000	2	105494087	105495759	-	1673
gene:Zm00001eb088010	2	105515015	105515373	-	359
gene:Zm00001eb088020	2	105857432	105859685	+	2254
gene:Zm00001eb088030	2	105890575	105891119	-	545
gene:Zm00001eb088040	2	105919522	105945692	+	26171
gene:Zm00001eb088050	2	105992835	106003690	-	10856
gene:Zm00001eb088060	2	106128417	106129537	-	1121
gene:Zm00001eb088070	2	106146525	106150716	+	4192
gene:Zm00001eb088080	2	106251779	106258244	-	6466
gene:Zm00001eb088090	2	106458621	106467824	+	9204
gene:Zm00001eb088100	2	106582209	106582544	-	336
gene:Zm00001eb088110	2	106586859	106587278	-	420
gene:Zm00001eb088120	2	106662986	106664887	+	1902
gene:Zm00001eb088130	2	106728039	106728729	-	691
gene:Zm00001eb088140	2	106787739	106788751	+	1013
gene:Zm00001eb088150	2	106799177	106804676	-	5500
gene:Zm00001eb088160	2	106945383	106946544	-	1162
gene:Zm00001eb088170	2	107009432	107010154	-	723
gene:Zm00001eb088180	2	107074863	107079512	+	4650
gene:Zm00001eb088190	2	107211360	107213554	-	2195
gene:Zm00001eb088200	2	107211482	107211895	+	414
gene:Zm00001eb088210	2	107216434	107219826	+	3393
gene:Zm00001eb088220	2	107639716	107641393	-	1678
gene:Zm00001eb088230	2	107811519	107811851	+	333
gene:Zm00001eb088240	2	107856828	107857728	+	901
gene:Zm00001eb088250	2	107859659	107880336	+	20678
gene:Zm00001eb088260	2	107880477	107881546	-	1070
gene:Zm00001eb088270	2	108083829	108087576	+	3748
gene:Zm00001eb088280	2	108151353	108155407	+	4055
gene:Zm00001eb088290	2	108280104	108301487	+	21384
gene:Zm00001eb088300	2	108415988	108416617	-	630
gene:Zm00001eb088310	2	108423063	108424590	-	1528
gene:Zm00001eb088320	2	108528730	108529254	-	525
gene:Zm00001eb088330	2	108654609	108656572	-	1964
gene:Zm00001eb088340	2	108654969	108656504	-	1536
gene:Zm00001eb088350	2	108659714	108676877	-	17164
gene:Zm00001eb088360	2	108685419	108685892	+	474
gene:Zm00001eb088370	2	108877593	108903565	-	25973
gene:Zm00001eb088380	2	109034950	109043367	+	8418
gene:Zm00001eb088390	2	109352081	109359493	-	7413
gene:Zm00001eb088400	2	109355336	109356212	+	877
gene:Zm00001eb088410	2	109448633	109449870	+	1238
gene:Zm00001eb088420	2	109584014	109584841	+	828
gene:Zm00001eb088430	2	109978511	109979196	-	686
gene:Zm00001eb088440	2	110198797	110199546	-	750
gene:Zm00001eb088450	2	110211251	110216235	+	4985
gene:Zm00001eb088460	2	110300176	110302239	+	2064
gene:Zm00001eb088470	2	110308475	110310408	-	1934
gene:Zm00001eb088480	2	110380347	110381477	-	1131
gene:Zm00001eb088490	2	110403381	110405164	-	1784
gene:Zm00001eb088500	2	110405829	110408188	+	2360
gene:Zm00001eb088510	2	110435556	110436616	-	1061
gene:Zm00001eb088520	2	110437122	110450135	-	13014
gene:Zm00001eb088530	2	110475221	110508799	-	33579
gene:Zm00001eb088540	2	110505243	110506486	+	1244
gene:Zm00001eb088550	2	110508710	110510353	+	1644
gene:Zm00001eb088560	2	110539951	110540974	-	1024
gene:Zm00001eb088570	2	110541968	110542859	-	892
gene:Zm00001eb088580	2	110573596	110574212	-	617
gene:Zm00001eb088590	2	110896946	110899183	+	2238
gene:Zm00001eb088600	2	110936671	110937106	+	436
gene:Zm00001eb088610	2	110986871	110988292	-	1422
gene:Zm00001eb088620	2	110987326	110988456	+	1131
gene:Zm00001eb088630	2	110999024	111000271	-	1248
gene:Zm00001eb088640	2	111000174	111002725	+	2552
gene:Zm00001eb088650	2	111096969	111097370	+	402
gene:Zm00001eb088660	2	111597876	111598962	-	1087
gene:Zm00001eb088670	2	111620306	111621123	-	818
gene:Zm00001eb088680	2	111627441	111627962	-	522
gene:Zm00001eb088690	2	111634705	111635226	-	522
gene:Zm00001eb088700	2	111757761	111779774	+	22014
gene:Zm00001eb088710	2	111780823	111783738	-	2916
gene:Zm00001eb088720	2	111784877	111786835	+	1959
gene:Zm00001eb088730	2	111791437	111793291	+	1855
gene:Zm00001eb088740	2	111791591	111845445	-	53855
gene:Zm00001eb088750	2	111807028	111807507	-	480
gene:Zm00001eb088760	2	112027196	112027693	+	498
gene:Zm00001eb088770	2	112101822	112103356	-	1535
gene:Zm00001eb088780	2	112168538	112170745	+	2208
gene:Zm00001eb088790	2	112273722	112279213	+	5492
gene:Zm00001eb088800	2	112284266	112285820	-	1555
gene:Zm00001eb088810	2	112674214	112675769	-	1556
gene:Zm00001eb088820	2	112674632	112675354	+	723
gene:Zm00001eb088830	2	112759426	112765422	-	5997
gene:Zm00001eb088840	2	113090509	113091926	-	1418
gene:Zm00001eb088850	2	113134384	113136210	+	1827
gene:Zm00001eb088860	2	113299665	113303194	+	3530
gene:Zm00001eb088870	2	113303033	113305041	-	2009
gene:Zm00001eb088880	2	113354288	113362518	-	8231
gene:Zm00001eb088890	2	113429692	113432213	+	2522
gene:Zm00001eb088900	2	113440792	113454166	+	13375
gene:Zm00001eb088910	2	113580070	113620913	+	40844
gene:Zm00001eb088920	2	113638779	113639380	+	602
gene:Zm00001eb088930	2	113639237	113644213	-	4977
gene:Zm00001eb088940	2	113699727	113714291	-	14565
gene:Zm00001eb088950	2	113764309	113766371	-	2063
gene:Zm00001eb088960	2	113872016	113880850	-	8835
gene:Zm00001eb088970	2	113975628	113979164	-	3537
gene:Zm00001eb088980	2	113983740	113984867	-	1128
gene:Zm00001eb088990	2	114029458	114032129	-	2672
gene:Zm00001eb089000	2	114032164	114032680	-	517
gene:Zm00001eb089010	2	114053562	114057510	+	3949
gene:Zm00001eb089020	2	114126581	114130435	-	3855
gene:Zm00001eb089030	2	114253834	114254592	+	759
gene:Zm00001eb089040	2	114272795	114273334	-	540
gene:Zm00001eb089050	2	114336825	114337780	+	956
gene:Zm00001eb089060	2	114363726	114366968	+	3243
gene:Zm00001eb089070	2	114436807	114441147	-	4341
gene:Zm00001eb089080	2	114517779	114519164	-	1386
gene:Zm00001eb089090	2	114559733	114560620	+	888
gene:Zm00001eb089100	2	114561277	114562516	-	1240
gene:Zm00001eb089110	2	114599617	114602053	-	2437
gene:Zm00001eb089120	2	114607026	114607619	-	594
gene:Zm00001eb089130	2	114665157	114667501	+	2345
gene:Zm00001eb089140	2	114729098	114729592	+	495
gene:Zm00001eb089150	2	114735167	114735489	-	323
gene:Zm00001eb089160	2	114736883	114741640	+	4758
gene:Zm00001eb089170	2	114813900	114814529	-	630
gene:Zm00001eb089180	2	114824707	114827398	-	2692
gene:Zm00001eb089190	2	114836414	114837903	+	1490
gene:Zm00001eb089200	2	114970096	114971613	-	1518
gene:Zm00001eb089210	2	115078302	115084297	+	5996
gene:Zm00001eb089220	2	115139474	115142549	+	3076
gene:Zm00001eb089230	2	115169460	115174391	+	4932
gene:Zm00001eb089240	2	115175930	115176403	-	474
gene:Zm00001eb089250	2	115227780	115230049	-	2270
gene:Zm00001eb089260	2	115230384	115235482	-	5099
gene:Zm00001eb089270	2	115238862	115239505	-	644
gene:Zm00001eb089280	2	115328527	115328829	+	303
gene:Zm00001eb089290	2	115352529	115354691	+	2163
gene:Zm00001eb089300	2	115355845	115357030	+	1186
gene:Zm00001eb089310	2	115357056	115357442	+	387
gene:Zm00001eb089320	2	115434418	115435883	-	1466
gene:Zm00001eb089330	2	115437481	115441375	-	3895
gene:Zm00001eb089340	2	115650244	115652482	-	2239
gene:Zm00001eb089350	2	115652111	115652446	+	336
gene:Zm00001eb089360	2	115899637	115902502	+	2866
gene:Zm00001eb089370	2	115928437	115929308	-	872
gene:Zm00001eb089380	2	115951171	115956690	+	5520
gene:Zm00001eb089390	2	115958214	115966591	+	8378
gene:Zm00001eb089400	2	116167799	116168194	-	396
gene:Zm00001eb089410	2	116172243	116182581	+	10339
gene:Zm00001eb089420	2	116511122	116521357	-	10236
gene:Zm00001eb089430	2	116517143	116517550	-	408
gene:Zm00001eb089440	2	116523963	116526369	+	2407
gene:Zm00001eb089450	2	116608153	116609423	+	1271
gene:Zm00001eb089460	2	116608253	116609333	-	1081
gene:Zm00001eb089470	2	116645653	116647089	+	1437
gene:Zm00001eb089480	2	116648155	116651969	-	3815
gene:Zm00001eb089490	2	116693122	116696752	-	3631
gene:Zm00001eb089500	2	116765935	116770341	+	4407
gene:Zm00001eb089510	2	116839602	116840356	-	755
gene:Zm00001eb089520	2	116841976	116843262	+	1287
gene:Zm00001eb089530	2	116902694	116903885	-	1192
gene:Zm00001eb089540	2	116907127	116908841	+	1715
gene:Zm00001eb089550	2	116969095	116978844	-	9750
gene:Zm00001eb089560	2	117129112	117129988	-	877
gene:Zm00001eb089570	2	117150758	117151626	+	869
gene:Zm00001eb089580	2	117151993	117162433	-	10441
gene:Zm00001eb089590	2	117262167	117266429	+	4263
gene:Zm00001eb089600	2	117266800	117270208	-	3409
gene:Zm00001eb089610	2	117279116	117281088	+	1973
gene:Zm00001eb089620	2	117320949	117323680	-	2732
gene:Zm00001eb089630	2	117378105	117381815	+	3711
gene:Zm00001eb089640	2	117382171	117389261	+	7091
gene:Zm00001eb089650	2	117456634	117462954	+	6321
gene:Zm00001eb089660	2	117558797	117564100	-	5304
gene:Zm00001eb089670	2	117640271	117644752	+	4482
gene:Zm00001eb089680	2	117644462	117648341	-	3880
gene:Zm00001eb089690	2	117793952	117794405	-	454
gene:Zm00001eb089700	2	117797645	117799833	+	2189
gene:Zm00001eb089710	2	117908813	117911989	+	3177
gene:Zm00001eb089720	2	117944307	117949137	-	4831
gene:Zm00001eb089730	2	117968881	117972282	-	3402
gene:Zm00001eb089740	2	118085128	118109868	+	24741
gene:Zm00001eb089750	2	118092900	118093236	+	337
gene:Zm00001eb089760	2	118166432	118166947	+	516
gene:Zm00001eb089770	2	118169104	118171350	+	2247
gene:Zm00001eb089780	2	118189864	118190242	-	379
gene:Zm00001eb089790	2	118189866	118200007	+	10142
gene:Zm00001eb089800	2	118204227	118211712	-	7486
gene:Zm00001eb089810	2	118210762	118211113	+	352
gene:Zm00001eb089820	2	118256155	118257451	-	1297
gene:Zm00001eb089830	2	118256194	118256715	+	522
gene:Zm00001eb089840	2	118391490	118413535	-	22046
gene:Zm00001eb089850	2	118644223	118645844	+	1622
gene:Zm00001eb089860	2	118683556	118699323	-	15768
gene:Zm00001eb089870	2	118959463	118968503	+	9041
gene:Zm00001eb089880	2	119080636	119081650	+	1015
gene:Zm00001eb089890	2	119086309	119086701	+	393
gene:Zm00001eb089900	2	119282383	119283210	+	828
gene:Zm00001eb089910	2	119293791	119294312	+	522
gene:Zm00001eb089920	2	119391341	119394028	+	2688
gene:Zm00001eb089930	2	119547636	119548928	+	1293
gene:Zm00001eb089940	2	119630970	119631890	+	921
gene:Zm00001eb089950	2	119664507	119665238	-	732
gene:Zm00001eb089960	2	120079466	120083618	+	4153
gene:Zm00001eb089970	2	120227368	120229455	-	2088
gene:Zm00001eb089980	2	120680500	120684820	+	4321
gene:Zm00001eb089990	2	120714562	120716970	+	2409
gene:Zm00001eb090000	2	120850367	120851025	-	659
gene:Zm00001eb090010	2	120893046	120893493	-	448
gene:Zm00001eb090020	2	120893613	120894283	-	671
gene:Zm00001eb090030	2	120908328	120934745	+	26418
gene:Zm00001eb090040	2	121219116	121219432	+	317
gene:Zm00001eb090050	2	121351851	121352528	+	678
gene:Zm00001eb090060	2	121369977	121370556	-	580
gene:Zm00001eb090070	2	121373897	121376581	-	2685
gene:Zm00001eb090080	2	121415955	121416497	-	543
gene:Zm00001eb090090	2	121417936	121427213	+	9278
gene:Zm00001eb090100	2	121538441	121541983	+	3543
gene:Zm00001eb090110	2	121664131	121665331	-	1201
gene:Zm00001eb090120	2	121702530	121702925	-	396
gene:Zm00001eb090130	2	121702953	121719902	-	16950
gene:Zm00001eb090140	2	121804167	121805555	+	1389
gene:Zm00001eb090150	2	121825846	121833003	+	7158
gene:Zm00001eb090160	2	121851020	121852010	-	991
gene:Zm00001eb090170	2	122075690	122081147	-	5458
gene:Zm00001eb090180	2	122080608	122081014	+	407
gene:Zm00001eb090190	2	122433062	122434369	+	1308
gene:Zm00001eb090200	2	122437039	122469332	+	32294
gene:Zm00001eb090210	2	122477923	122480686	+	2764
gene:Zm00001eb090220	2	122481495	122483125	+	1631
gene:Zm00001eb090230	2	122494274	122495970	+	1697
gene:Zm00001eb090240	2	122576191	122589322	+	13132
gene:Zm00001eb090250	2	122576260	122576849	-	590
gene:Zm00001eb090260	2	122649695	122653293	-	3599
gene:Zm00001eb090270	2	122943409	122944793	-	1385
gene:Zm00001eb090280	2	123062833	123066345	-	3513
gene:Zm00001eb090290	2	123093931	123094278	-	348
gene:Zm00001eb090300	2	123101935	123106080	+	4146
gene:Zm00001eb090310	2	123236487	123238601	-	2115
gene:Zm00001eb090320	2	123615840	123617465	+	1626
gene:Zm00001eb090330	2	124190960	124193126	+	2167
gene:Zm00001eb090340	2	124304011	124304659	+	649
gene:Zm00001eb090350	2	124393718	124398156	+	4439
gene:Zm00001eb090360	2	124423990	124432636	+	8647
gene:Zm00001eb090370	2	124599629	124601912	+	2284
gene:Zm00001eb090380	2	124623847	124624178	-	332
gene:Zm00001eb090390	2	124624491	124655235	+	30745
gene:Zm00001eb090400	2	124640762	124641093	-	332
gene:Zm00001eb090410	2	124656098	124657971	-	1874
gene:Zm00001eb090420	2	124694981	124696141	+	1161
gene:Zm00001eb090440	2	124745337	124746101	-	765
gene:Zm00001eb090430	2	124745337	124790758	-	45422
gene:Zm00001eb090450	2	124921076	124922081	+	1006
gene:Zm00001eb090460	2	125333921	125334259	-	339
gene:Zm00001eb090470	2	125479102	125479608	-	507
gene:Zm00001eb090480	2	125575489	125578130	+	2642
gene:Zm00001eb090490	2	125791191	125797026	-	5836
gene:Zm00001eb090500	2	125909517	125910452	-	936
gene:Zm00001eb090510	2	126228016	126252416	-	24401
gene:Zm00001eb090520	2	126353197	126355444	-	2248
gene:Zm00001eb090530	2	126412883	126415109	-	2227
gene:Zm00001eb090540	2	126601693	126626682	+	24990
gene:Zm00001eb090550	2	126606853	126607533	+	681
gene:Zm00001eb090560	2	126608753	126609179	+	427
gene:Zm00001eb090570	2	126740538	126745011	-	4474
gene:Zm00001eb090580	2	126789910	126790554	+	645
gene:Zm00001eb090590	2	126941630	126978080	-	36451
gene:Zm00001eb090600	2	126978604	126979803	+	1200
gene:Zm00001eb090610	2	127568635	127570533	+	1899
gene:Zm00001eb090620	2	127621470	127623869	-	2400
gene:Zm00001eb090630	2	127738839	127739527	-	689
gene:Zm00001eb090640	2	127968427	127986759	+	18333
gene:Zm00001eb090650	2	128096461	128097121	+	661
gene:Zm00001eb090660	2	128111075	128111666	+	592
gene:Zm00001eb090670	2	128600426	128624112	+	23687
gene:Zm00001eb090680	2	129028646	129029169	+	524
gene:Zm00001eb090690	2	129277713	129278206	+	494
gene:Zm00001eb090700	2	129347177	129348495	-	1319
gene:Zm00001eb090710	2	129574806	129584446	+	9641
gene:Zm00001eb090720	2	129584695	129586213	+	1519
gene:Zm00001eb090730	2	129787982	129802704	+	14723
gene:Zm00001eb090740	2	129890092	129891125	+	1034
gene:Zm00001eb090750	2	130003256	130005310	-	2055
gene:Zm00001eb090760	2	130144958	130147119	+	2162
gene:Zm00001eb090770	2	130145334	130148796	-	3463
gene:Zm00001eb090780	2	130202051	130205451	-	3401
gene:Zm00001eb090790	2	130440610	130448046	-	7437
gene:Zm00001eb090800	2	130466555	130474000	-	7446
gene:Zm00001eb090810	2	130506396	130513833	-	7438
gene:Zm00001eb090820	2	130849549	130851960	+	2412
gene:Zm00001eb090830	2	131169464	131171064	-	1601
gene:Zm00001eb090840	2	131297938	131299116	+	1179
gene:Zm00001eb090850	2	131528670	131531918	-	3249
gene:Zm00001eb090860	2	131685565	131687650	+	2086
gene:Zm00001eb090870	2	131838910	131846216	+	7307
gene:Zm00001eb090880	2	131911188	131914769	-	3582
gene:Zm00001eb090890	2	131911722	131914769	+	3048
gene:Zm00001eb090900	2	131997156	131997512	-	357
gene:Zm00001eb090910	2	132047319	132048039	+	721
gene:Zm00001eb090920	2	132118887	132153559	-	34673
gene:Zm00001eb090930	2	132135747	132136046	+	300
gene:Zm00001eb090940	2	132136034	132136390	-	357
gene:Zm00001eb090950	2	132137709	132138088	-	380
gene:Zm00001eb090960	2	132256713	132259011	+	2299
gene:Zm00001eb090970	2	132256747	132258853	-	2107
gene:Zm00001eb090980	2	132272690	132277067	-	4378
gene:Zm00001eb090990	2	132342500	132374790	-	32291
gene:Zm00001eb091000	2	132489118	132490833	+	1716
gene:Zm00001eb091010	2	132652991	132676314	-	23324
gene:Zm00001eb091020	2	132666833	132668784	+	1952
gene:Zm00001eb091030	2	132977708	132978123	-	416
gene:Zm00001eb091040	2	132978164	132979033	-	870
gene:Zm00001eb091050	2	132986075	132986685	+	611
gene:Zm00001eb091060	2	133361198	133367122	-	5925
gene:Zm00001eb091070	2	133368714	133369531	-	818
gene:Zm00001eb091080	2	133488090	133489928	+	1839
gene:Zm00001eb091090	2	133676633	133680874	+	4242
gene:Zm00001eb091100	2	133706997	133708830	-	1834
gene:Zm00001eb091110	2	133765604	133766887	-	1284
gene:Zm00001eb091120	2	133771733	133772077	-	345
gene:Zm00001eb091130	2	133772518	133773726	-	1209
gene:Zm00001eb091140	2	133978118	133979066	-	949
gene:Zm00001eb091150	2	133991432	133991978	+	547
gene:Zm00001eb091160	2	134036744	134040874	+	4131
gene:Zm00001eb091170	2	134044815	134045578	-	764
gene:Zm00001eb091180	2	134272554	134273445	+	892
gene:Zm00001eb091190	2	134345671	134346512	+	842
gene:Zm00001eb091200	2	134358954	134363158	-	4205
gene:Zm00001eb091210	2	134429920	134430246	+	327
gene:Zm00001eb091220	2	134435597	134436737	+	1141
gene:Zm00001eb091230	2	134591647	134594894	-	3248
gene:Zm00001eb091240	2	134810879	134822140	-	11262
gene:Zm00001eb091250	2	134944070	134949842	+	5773
gene:Zm00001eb091260	2	135013010	135019960	+	6951
gene:Zm00001eb091270	2	135053289	135060036	-	6748
gene:Zm00001eb091280	2	135405839	135408933	+	3095
gene:Zm00001eb091290	2	135406373	135406700	-	328
gene:Zm00001eb091300	2	135410126	135411588	-	1463
gene:Zm00001eb091310	2	135426444	135427709	+	1266
gene:Zm00001eb091320	2	135903171	135908210	-	5040
gene:Zm00001eb091330	2	135910656	135912650	+	1995
gene:Zm00001eb091340	2	136049559	136051605	-	2047
gene:Zm00001eb091350	2	136133490	136140926	+	7437
gene:Zm00001eb091360	2	136158418	136159413	-	996
gene:Zm00001eb091370	2	136314889	136315804	+	916
gene:Zm00001eb091380	2	136389508	136391354	-	1847
gene:Zm00001eb091390	2	136402804	136420634	+	17831
gene:Zm00001eb091400	2	136643526	136644455	+	930
gene:Zm00001eb091410	2	136996162	136999732	-	3571
gene:Zm00001eb091420	2	137218089	137222883	+	4795
gene:Zm00001eb091430	2	137258132	137260088	+	1957
gene:Zm00001eb091440	2	137382086	137386027	-	3942
gene:Zm00001eb091450	2	137395970	137397770	+	1801
gene:Zm00001eb091460	2	137521843	137522366	+	524
gene:Zm00001eb091470	2	137745876	137750231	+	4356
gene:Zm00001eb091480	2	137930394	137930851	-	458
gene:Zm00001eb091490	2	137951082	137962100	-	11019
gene:Zm00001eb091500	2	138054788	138061170	-	6383
gene:Zm00001eb091510	2	138362491	138372388	+	9898
gene:Zm00001eb091520	2	138375149	138377734	+	2586
gene:Zm00001eb091530	2	138532584	138542174	-	9591
gene:Zm00001eb091540	2	138768836	138784137	-	15302
gene:Zm00001eb091550	2	138786869	138787183	-	315
gene:Zm00001eb091560	2	138957710	138959022	+	1313
gene:Zm00001eb091570	2	138984143	138988605	+	4463
gene:Zm00001eb091580	2	138988987	138990044	+	1058
gene:Zm00001eb091590	2	139135675	139136792	+	1118
gene:Zm00001eb091600	2	139137999	139138391	+	393
gene:Zm00001eb091610	2	139138571	139149472	+	10902
gene:Zm00001eb091620	2	139325884	139342455	+	16572
gene:Zm00001eb091630	2	139480859	139484021	+	3163
gene:Zm00001eb091640	2	139690219	139694250	+	4032
gene:Zm00001eb091650	2	139791335	139792406	+	1072
gene:Zm00001eb091660	2	139793144	139795200	-	2057
gene:Zm00001eb091670	2	139936198	139941183	+	4986
gene:Zm00001eb091680	2	140078583	140084088	+	5506
gene:Zm00001eb091690	2	140084164	140088033	+	3870
gene:Zm00001eb091700	2	140092294	140098513	+	6220
gene:Zm00001eb091710	2	140157509	140162470	+	4962
gene:Zm00001eb091720	2	140250662	140252651	+	1990
gene:Zm00001eb091730	2	140253419	140267780	-	14362
gene:Zm00001eb091740	2	140325699	140331062	-	5364
gene:Zm00001eb091750	2	140373633	140384532	-	10900
gene:Zm00001eb091760	2	140397746	140413960	-	16215
gene:Zm00001eb091770	2	140490945	140491385	-	441
gene:Zm00001eb091780	2	140544131	140546712	+	2582
gene:Zm00001eb091790	2	140547722	140548528	+	807
gene:Zm00001eb091800	2	140636723	140638711	-	1989
gene:Zm00001eb091810	2	141418160	141418829	-	670
gene:Zm00001eb091820	2	141590321	141591304	+	984
gene:Zm00001eb091830	2	141874141	141875007	+	867
gene:Zm00001eb091840	2	141875165	141875976	+	812
gene:Zm00001eb091850	2	142077868	142088203	-	10336
gene:Zm00001eb091860	2	142078745	142079119	+	375
gene:Zm00001eb091870	2	142423211	142426021	+	2811
gene:Zm00001eb091880	2	142425526	142425991	-	466
gene:Zm00001eb091890	2	142427575	142431164	-	3590
gene:Zm00001eb091900	2	142999978	143002986	+	3009
